chr5	149563301	149563916	+	ENSG00000257938	AC005895.4
chr6	32152516	32153659	-	ENSG00000259382	XXbac-BPG300A18.13
chr7	27226192	27233067	-	ENSG00000253508	RP1-170O19.14
chr8	28910034	28911276	+	ENSG00000259599	CTD-2647L4.3
chr8	28913452	28914202	+	ENSG00000259366	CTD-2647L4.4
chr10	119184705	119249930	+	ENSG00000258114	CTA-109P11.4
chr10	134596683	134598269	-	ENSG00000234531	RP11-288G11.3
chr12	57390043	57392225	+	ENSG00000258442	RP11-474N8.5
chr12	58117572	58119448	-	ENSG00000257499	RP11-571M6.8
chr12	89954906	89987798	+	ENSG00000258302	RP11-981P6.1
chr12	92537962	92539009	-	ENSG00000257922	RP11-796E2.3
chr12	112250597	112251224	+	ENSG00000257877	RP3-462E2.3
chr1	13839715	13842765	+	ENSG00000229350	RP4-597A16.2
chr1	51795326	51800996	+	ENSG00000228298	RP11-275F13.1
chr1	175276354	175304595	+	ENSG00000229218	RP3-518E13.2
chr1	179512336	179518057	-	ENSG00000238030	RP11-545A16.1
chr1	179895776	179910931	-	ENSG00000228969	RP11-533E19.2
chr1	180086275	180093025	-	ENSG00000231016	RP11-502H18.2
chr1	185290288	185304171	-	ENSG00000228183	GS1-279B7.1
chr1	198626682	198636190	-	ENSG00000229933	RP11-553K8.5
chr1	200638635	200663378	+	ENSG00000232257	RP11-92G12.3
chr1	204100190	204101094	+	ENSG00000234555	RP11-74C13.4
chr1	204336927	204346793	-	ENSG00000223673	RP11-739N20.1
chr1	208780445	208785537	-	ENSG00000232507	RP11-565N2.1
chr1	208800086	208801430	-	ENSG00000235585	RP11-565N2.2
chr17	5402759	5404465	-	ENSG00000170233	NLRP1
chr17	14934292	14935274	+	ENSG00000227767	CDRT7
chr17	36606675	36608643	-	ENSG00000228576	AC124789.1
chr17	79203141	79206006	+	ENSG00000233923	AC027601.1
chr18	24445272	24515910	+	ENSG00000236721	CHST9-AS1
chr20	22541191	22559280	-	ENSG00000225074	LINC00261
chrX	37765400	37808658	+	ENSG00000234018	AL121578.2
chr1	29554	31109	+	ENSG00000243485	MIR1302-11
chr1	89295	133566	-	ENSG00000238009	RP11-34P13.7
chr1	139790	140339	-	ENSG00000239906	RP11-34P13.14
chr1	141474	149707	-	ENSG00000241860	RP11-34P13.12
chr1	846815	850328	+	ENSG00000230699	RP11-54O7.1
chr1	849551	850351	+	ENSG00000241180	RP11-54O7.2
chr1	947377	948573	-	ENSG00000224969	RP11-54O7.11
chr1	1108436	1114935	-	ENSG00000205231	RP11-465B22.6
chr1	1355625	1358071	+	ENSG00000225905	RP4-758J18.7
chr1	1360832	1363179	-	ENSG00000230270	RP4-758J18.8
chr1	1363502	1365635	-	ENSG00000236239	RP4-758J18.9
chr1	1365919	1369953	-	ENSG00000225285	RP4-758J18.10
chr1	1822910	1824097	+	ENSG00000231050	RP1-140A9.1
chr1	1944652	1946969	-	ENSG00000233542	RP11-547D24.1
chr1	1980642	1981509	-	ENSG00000226969	RP11-547D24.3
chr1	2113233	2115828	-	ENSG00000182873	RP11-181G12.2
chr1	2423739	2424697	-	ENSG00000224387	RP3-395M20.2
chr1	2424876	2425918	-	ENSG00000229393	RP3-395M20.3
chr1	2497849	2508811	+	ENSG00000225931	RP3-395M20.7
chr1	2512999	2515972	+	ENSG00000228037	RP3-395M20.9
chr1	2564007	2568059	+	ENSG00000237058	RP13-436F16.1
chr1	3049491	3050273	-	ENSG00000226286	RP1-163G9.2
chr1	3539754	3541307	-	ENSG00000238260	RP11-46F15.2
chr1	3575502	3585336	-	ENSG00000227589	RP5-1092A11.5
chr1	3628764	3630862	-	ENSG00000235131	RP5-1092A11.2
chr1	3689352	3692546	+	ENSG00000235169	RP1-286D6.2
chr1	6264900	6265840	-	ENSG00000226944	RP1-120G22.11
chr1	6296300	6299504	+	ENSG00000225077	LINC00337
chr1	6503094	6507066	-	ENSG00000231868	RP1-202O8.2
chr1	6843952	6844903	-	ENSG00000237436	RP11-312B8.1
